date,I-CIP,colombian_milds,other_milds,brazilian_nat,robustas,year,month
2023-02-01,171.43,235.92,223.22,191.65,102.31,2023,2
2023-02-02,172.5,237.34,226.26,192.86,102.0,2023,2
2023-02-03,169.47,232.24,221.86,188.61,101.52,2023,2
2023-02-06,171.29,235.17,224.8,190.77,102.02,2023,2
2023-02-07,172.14,235.65,226.72,191.92,102.1,2023,2
2023-02-08,171.23,234.06,225.13,190.38,102.35,2023,2
2023-02-09,169.89,232.17,223.54,188.61,101.71,2023,2
2023-02-10,170.31,233.38,223.14,189.73,101.76,2023,2
2023-02-13,171.5,235.34,224.91,191.24,102.06,2023,2
2023-02-14,175.86,241.56,231.13,197.28,103.26,2023,2
2023-02-15,171.73,235.53,225.11,191.36,102.43,2023,2
2023-02-16,173.91,238.5,228.08,194.25,103.26,2023,2
2023-02-17,177.59,242.86,233.37,199.53,104.4,2023,2
2023-02-20,177.67,241.26,235.07,198.15,105.35,2023,2
2023-02-21,180.49,245.25,239.04,202.09,106.15,2023,2
2023-02-22,183.85,248.76,242.56,205.62,109.23,2023,2
2023-02-23,180.91,245.2,238.99,202.07,107.37,2023,2
2023-02-24,178.96,242.39,234.37,200.55,106.89,2023,2
2023-02-27,177.25,237.56,233.63,198.41,106.04,2023,2
2023-02-28,177.42,237.6,233.67,198.53,106.38,2023,2
2023-03-01,175.93,234.63,230.69,195.4,107.65,2023,3
2023-03-02,175.08,232.62,229.73,193.63,108.05,2023,3
2023-03-03,172.26,228.55,225.58,189.86,107.25,2023,3
2023-03-06,173.04,228.4,229.01,190.63,106.78,2023,3
2023-03-07,174.83,232.32,228.06,195.15,107.13,2023,3
2023-03-08,171.66,227.12,222.86,189.9,107.59,2023,3
2023-03-09,170.11,224.55,220.75,187.12,107.78,2023,3
2023-03-10,171.96,227.72,223.46,190.66,107.24,2023,3
2023-03-13,171.67,228.93,224.33,190.82,105.38,2023,3
2023-03-14,167.97,223.86,220.89,185.08,103.73,2023,3
2023-03-15,166.16,220.97,219.35,182.3,102.96,2023,3
2023-03-16,171.76,228.32,226.25,190.18,105.26,2023,3
2023-03-17,168.56,224.74,221.82,186.67,103.17,2023,3
2023-03-20,169.55,226.27,224.07,187.2,103.65,2023,3
2023-03-21,171.41,227.74,226.09,188.54,105.97,2023,3
2023-03-22,169.11,224.45,222.25,185.8,105.28,2023,3
2023-03-23,167.31,221.34,219.14,182.64,105.86,2023,3
2023-03-24,171.17,225.63,222.88,187.42,108.85,2023,3
2023-03-27,169.8,223.03,220.86,184.35,109.74,2023,3
2023-03-28,166.69,219.8,216.67,182.12,106.56,2023,3
2023-03-29,164.36,216.02,212.89,178.45,106.69,2023,3
2023-03-30,164.99,216.34,212.69,178.79,108.16,2023,3
2023-03-31,165.37,216.93,213.87,178.63,108.48,2023,3
2023-04-03,168.87,222.3,219.78,183.11,109.1,2023,4
2023-04-04,168.14,220.82,218.29,181.52,109.8,2023,4
2023-04-05,172.44,225.91,223.38,186.7,112.63,2023,4
2023-04-06,173.75,228.43,225.9,189.3,111.71,2023,4
2023-04-07,173.96,228.72,226.04,189.39,112.03,2023,4
2023-04-10,173.4,227.43,222.16,190.05,112.6,2023,4
2023-04-11,179.29,235.03,229.75,197.69,115.44,2023,4
2023-04-12,179.0,234.75,229.47,197.15,115.34,2023,4
2023-04-13,183.83,240.61,235.34,203.28,118.1,2023,4
2023-04-14,180.36,237.82,231.78,198.06,115.97,2023,4
2023-04-17,185.15,244.82,238.76,204.94,116.94,2023,4
2023-04-18,187.29,249.04,242.71,207.45,117.02,2023,4
2023-04-19,185.76,246.4,240.08,204.95,117.34,2023,4
2023-04-20,181.56,238.76,233.44,199.24,117.0,2023,4
2023-04-21,179.72,236.74,229.9,196.29,117.18,2023,4
2023-04-24,182.56,238.97,231.42,199.34,120.8,2023,4
2023-04-25,179.09,234.11,227.05,194.06,119.88,2023,4
2023-04-26,180.06,236.41,229.34,195.77,118.99,2023,4
2023-04-27,181.22,239.16,233.03,197.51,117.65,2023,4
2023-04-28,176.0,230.89,223.51,189.33,118.5,2023,4
2023-05-01,177.95,235.04,229.65,191.36,117.23,2023,5
2023-05-02,175.97,230.4,223.63,188.63,119.11,2023,5
2023-05-03,175.29,229.69,220.54,189.04,118.92,2023,5
2023-05-04,173.83,227.42,218.35,186.84,118.8,2023,5
2023-05-05,176.7,231.73,222.26,190.6,119.81,2023,5
2023-05-08,174.88,228.33,219.66,187.89,119.74,2023,5
2023-05-09,176.98,230.24,222.27,190.38,121.26,2023,5
2023-05-10,177.07,229.77,221.85,189.96,122.27,2023,5
2023-05-11,172.76,225.71,217.79,185.24,118.1,2023,5
2023-05-12,173.4,225.63,217.51,185.58,119.76,2023,5
2023-05-15,178.1,231.41,223.92,191.69,121.89,2023,5
2023-05-16,176.87,228.83,221.74,188.65,123.23,2023,5
2023-05-17,177.43,228.18,221.08,188.07,125.88,2023,5
2023-05-18,177.22,228.33,220.78,188.12,125.38,2023,5
2023-05-19,179.19,230.6,223.24,191.04,126.14,2023,5
2023-05-22,178.98,228.34,223.64,188.46,128.32,2023,5
2023-05-23,176.88,226.71,222.01,186.86,125.35,2023,5
2023-05-24,177.51,227.32,222.63,187.51,125.99,2023,5
2023-05-25,173.46,222.17,217.37,182.38,123.94,2023,5
2023-05-26,172.49,220.39,215.81,180.94,123.98,2023,5
2023-05-29,172.84,220.52,215.05,181.73,124.68,2023,5
2023-05-30,169.87,215.91,210.53,177.23,124.47,2023,5
2023-05-31,170.47,216.84,211.48,178.19,124.45,2023,5
2023-06-01,173.56,220.4,215.27,181.78,126.54,2023,6
2023-06-02,175.62,222.41,216.73,181.98,130.57,2023,6
2023-06-05,173.15,219.54,213.37,180.94,127.53,2023,6
2023-06-06,173.15,219.16,213.0,180.76,128.02,2023,6
2023-06-07,175.07,220.99,214.83,182.43,130.23,2023,6
2023-06-08,182.04,229.28,223.64,190.98,134.34,2023,6
2023-06-09,179.5,225.81,220.0,187.74,133.33,2023,6
2023-06-12,173.84,221.41,202.86,183.35,132.88,2023,6
2023-06-13,172.0,217.97,200.08,180.41,133.04,2023,6
2023-06-14,172.69,219.24,200.95,181.55,133.05,2023,6
2023-06-15,175.65,222.14,203.95,184.49,136.04,2023,6
2023-06-16,175.05,214.62,213.99,179.9,134.96,2023,6
2023-06-19,175.87,214.81,214.19,180.23,136.77,2023,6
2023-06-20,172.62,210.23,209.61,175.59,135.96,2023,6
2023-06-21,169.37,206.24,205.61,171.37,134.21,2023,6
2023-06-22,168.54,203.27,203.67,169.93,135.26,2023,6
2023-06-23,164.52,197.85,198.71,165.22,132.87,2023,6
2023-06-26,165.89,197.36,200.34,166.67,134.64,2023,6
2023-06-27,166.9,199.16,202.16,168.49,134.21,2023,6
2023-06-28,162.42,194.41,197.43,163.78,130.15,2023,6
2023-06-29,161.53,193.48,197.41,163.9,127.9,2023,6
2023-06-30,158.47,190.86,194.67,161.12,124.26,2023,6
2023-07-03,158.99,191.18,194.33,160.53,126.33,2023,7
2023-07-04,157.96,190.3,192.5,159.48,125.71,2023,7
2023-07-05,156.73,188.75,190.96,157.96,125.04,2023,7
2023-07-06,158.4,190.83,194.17,160.35,125.04,2023,7
2023-07-07,160.41,191.03,194.12,160.87,130.14,2023,7
2023-07-10,158.91,189.78,192.8,159.18,128.62,2023,7
2023-07-11,158.38,188.2,192.17,158.66,128.48,2023,7
2023-07-12,157.66,187.74,191.7,158.27,127.24,2023,7
2023-07-13,157.77,188.56,192.25,158.34,126.91,2023,7
2023-07-14,158.78,191.68,192.64,160.18,126.87,2023,7
2023-07-17,155.65,185.96,188.74,154.32,127.37,2023,7
2023-07-18,155.86,186.61,189.37,154.94,126.86,2023,7
2023-07-19,156.37,185.87,188.65,154.2,129.57,2023,7
2023-07-20,157.24,188.62,191.39,157.11,126.96,2023,7
2023-07-21,160.78,192.7,196.2,160.83,129.43,2023,7
2023-07-24,162.4,194.16,196.72,162.19,131.99,2023,7
2023-07-25,162.64,194.32,197.83,162.81,131.41,2023,7
2023-07-26,161.64,195.44,198.95,163.92,126.65,2023,7
2023-07-27,160.86,193.8,197.31,162.25,127.42,2023,7
2023-07-28,157.48,190.12,192.76,158.82,124.87,2023,7
2023-07-31,161.54,196.63,197.82,164.25,126.34,2023,7
2023-08-01,161.7,196.62,197.67,164.03,127.08,2023,8
2023-08-02,163.62,198.66,199.72,166.0,128.82,2023,8
2023-08-03,161.68,196.28,197.32,163.52,127.77,2023,8
2023-08-04,158.15,192.33,192.15,159.2,126.01,2023,8
2023-08-07,160.76,194.43,194.65,161.75,128.91,2023,8
2023-08-08,160.03,192.7,193.63,160.61,129.03,2023,8
2023-08-09,158.62,191.14,191.37,158.39,128.88,2023,8
2023-08-10,158.26,191.29,191.28,158.61,127.69,2023,8
2023-08-11,155.96,188.35,187.47,155.31,127.33,2023,8
2023-08-14,151.31,183.4,182.46,149.96,123.6,2023,8
2023-08-15,150.92,182.53,181.59,149.34,123.86,2023,8
2023-08-16,149.07,181.45,180.49,147.98,120.9,2023,8
2023-08-17,149.34,181.1,179.23,148.87,121.72,2023,8
2023-08-18,149.68,182.11,180.25,150.84,120.04,2023,8
2023-08-21,149.24,182.32,180.89,148.95,120.0,2023,8
2023-08-22,148.79,181.47,180.03,148.03,120.34,2023,8
2023-08-23,151.67,185.26,183.83,151.92,121.49,2023,8
2023-08-24,152.1,185.63,184.19,152.31,122.02,2023,8
2023-08-25,152.0,184.84,183.0,151.94,123.02,2023,8
2023-08-28,151.74,184.64,182.71,151.07,123.29,2023,8
2023-08-29,151.91,184.32,182.39,151.38,123.77,2023,8
2023-08-30,154.29,186.68,184.75,153.84,126.12,2023,8
2023-08-31,153.3,186.06,183.78,153.34,124.55,2023,8
2023-09-01,152.36,184.05,183.14,151.88,124.26,2023,9
2023-09-04,152.01,183.75,182.6,151.43,124.09,2023,9
2023-09-05,153.02,185.15,184.01,152.88,124.34,2023,9
2023-09-06,153.39,186.34,185.01,154.83,122.74,2023,9
2023-09-07,151.58,181.98,185.21,151.52,121.88,2023,9
2023-09-08,152.04,181.26,185.59,152.47,122.36,2023,9
2023-09-11,153.74,185.04,189.44,152.93,123.18,2023,9
2023-09-12,150.94,184.28,183.25,152.22,119.88,2023,9
2023-09-13,152.74,184.26,183.24,152.21,124.9,2023,9
2023-09-14,154.44,186.05,184.66,155.03,125.78,2023,9
2023-09-15,158.24,190.93,189.22,159.7,128.01,2023,9
2023-09-18,158.65,191.43,189.45,159.55,128.98,2023,9
2023-09-19,160.17,193.12,190.07,164.2,128.28,2023,9
2023-09-20,158.22,190.64,187.59,161.94,127.07,2023,9
