"",ICO Composite,Colombian,,Brazilian,
"",,,Other Milds,,Robustas
"",Indicator (I-CIP),Milds,,Naturals,
03-Apr,168.87,222.30,219.78,183.11,109.10
04-Apr,168.14,220.82,218.29,181.52,109.80
05-Apr,172.44,225.91,223.38,186.70,112.63
06-Apr,173.75,228.43,225.90,189.30,111.71
07-Apr,173.96,228.72,226.04,189.39,112.03
10-Apr,173.40,227.43,222.16,190.05,112.60
11-Apr,179.29,235.03,229.75,197.69,115.44
12-Apr,179.00,234.75,229.47,197.15,115.34
13-Apr,183.83,240.61,235.34,203.28,118.10
14-Apr,180.36,237.82,231.78,198.06,115.97
17-Apr,185.15,244.82,238.76,204.94,116.94
18-Apr,187.29,249.04,242.71,207.45,117.02
19-Apr,185.76,246.40,240.08,204.95,117.34
20-Apr,181.56,238.76,233.44,199.24,117.00
21-Apr,179.72,236.74,229.90,196.29,117.18
24-Apr,182.56,238.97,231.42,199.34,120.80
25-Apr,179.09,234.11,227.05,194.06,119.88
26-Apr,180.06,236.41,229.34,195.77,118.99
27-Apr,181.22,239.16,233.03,197.51,117.65
28-Apr,176.00,230.89,223.51,189.33,118.50
