"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Aug,161.70,196.62,197.67,164.03,127.08
02-Aug,163.62,198.66,199.72,166.00,128.82
03-Aug,161.68,196.28,197.32,163.52,127.77
04-Aug,158.15,192.33,192.15,159.20,126.01
07-Aug,160.76,194.43,194.65,161.75,128.91
08-Aug,160.03,192.70,193.63,160.61,129.03
09-Aug,158.62,191.14,191.37,158.39,128.88
10-Aug,158.26,191.29,191.28,158.61,127.69
11-Aug,155.96,188.35,187.47,155.31,127.33
14-Aug,151.31,183.40,182.46,149.96,123.60
15-Aug,150.92,182.53,181.59,149.34,123.86
16-Aug,149.07,181.45,180.49,147.98,120.90
17-Aug,149.34,181.10,179.23,148.87,121.72
18-Aug,149.68,182.11,180.25,150.84,120.04
21-Aug,149.24,182.32,180.89,148.95,120.00
22-Aug,148.79,181.47,180.03,148.03,120.34
23-Aug,151.67,185.26,183.83,151.92,121.49
24-Aug,152.10,185.63,184.19,152.31,122.02
25-Aug,152.00,184.84,183.00,151.94,123.02
28-Aug,151.74,184.64,182.71,151.07,123.29
29-Aug,151.91,184.32,182.39,151.38,123.77
30-Aug,154.29,186.68,184.75,153.84,126.12
31-Aug,153.30,186.06,183.78,153.34,124.55
