"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Dec,169.76,206.59,207.96,181.33,125.25
04-Dec,166.36,202.16,202.67,176.13,124.84
05-Dec,170.09,205.22,207.59,180.95,127.15
06-Dec,163.92,196.87,199.24,172.53,124.92
07-Dec,166.00,198.87,201.78,175.25,126.22
08-Dec,166.47,202.09,202.12,174.54,126.85
11-Dec,172.54,208.28,208.59,183.27,130.37
12-Dec,173.43,208.39,207.51,181.93,134.57
13-Dec,176.27,211.46,210.57,184.96,137.03
14-Dec,178.03,213.57,212.69,187.21,138.06
15-Dec,177.64,213.25,210.93,185.90,139.25
18-Dec,178.13,213.00,212.24,186.81,139.14
19-Dec,186.04,222.92,221.99,196.55,143.72
20-Dec,179.29,212.47,212.69,188.00,141.25
21-Dec,182.08,215.14,215.35,190.51,144.39
22-Dec,179.35,213.48,214.25,189.34,139.01
27-Dec,183.23,220.13,219.18,194.22,140.50
28-Dec,184.85,219.64,219.27,195.21,144.27
29-Dec,176.93,209.82,209.45,185.25,139.82
