"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Feb,185.24,213.15,212.01,190.15,156.09
02-Feb,183.69,212.32,212.94,188.41,153.01
05-Feb,180.93,210.11,209.12,185.69,150.65
06-Feb,180.65,208.72,207.73,184.41,152.25
07-Feb,182.67,210.75,210.53,187.07,153.27
08-Feb,181.62,209.01,208.65,185.68,153.22
09-Feb,187.07,214.58,215.14,191.21,157.98
12-Feb,186.76,214.42,214.67,191.90,156.83
13-Feb,184.47,211.53,211.79,188.97,155.65
14-Feb,179.87,206.31,206.57,183.73,152.16
15-Feb,181.84,208.63,208.90,186.19,153.38
16-Feb,183.01,210.82,210.13,187.06,154.43
19-Feb,183.39,210.72,209.88,186.88,155.84
20-Feb,182.73,210.52,209.69,186.90,154.16
21-Feb,184.10,211.97,211.14,188.16,155.55
22-Feb,180.02,207.20,206.37,183.38,152.69
23-Feb,177.80,204.48,202.46,183.74,149.40
26-Feb,177.48,204.12,202.11,183.48,149.08
27-Feb,180.23,207.11,205.10,186.34,151.51
28-Feb,179.12,206.01,204.00,185.39,150.23
29-Feb,180.11,207.67,205.52,186.73,150.40
