"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
02-Jan,173.95,208.89,201.15,183.73,138.03
03-Jan,171.08,205.50,197.88,180.48,135.88
04-Jan,171.33,204.94,197.38,179.98,137.48
05-Jan,173.51,205.05,204.73,180.40,138.84
08-Jan,173.84,203.56,203.25,178.94,142.38
09-Jan,174.82,205.16,204.10,178.79,144.22
10-Jan,173.12,202.19,201.12,175.94,144.66
11-Jan,173.57,203.32,202.24,176.42,144.46
12-Jan,171.94,200.72,199.54,173.97,144.49
15-Jan,171.54,200.46,198.34,171.42,146.37
16-Jan,173.83,203.76,201.63,173.87,147.61
17-Jan,173.16,198.96,196.83,169.91,153.56
18-Jan,172.37,199.91,197.80,170.84,149.66
19-Jan,176.29,204.72,202.60,175.74,151.94
22-Jan,179.20,209.12,206.98,179.28,152.96
23-Jan,180.39,209.52,207.39,180.52,154.82
24-Jan,180.51,208.94,206.81,179.94,156.19
25-Jan,181.17,205.30,203.66,182.59,158.78
26-Jan,183.39,210.83,209.93,188.33,154.50
29-Jan,181.43,207.61,206.71,184.99,154.88
30-Jan,184.94,212.12,210.83,188.99,157.30
31-Jan,185.54,213.00,211.71,190.01,157.28
