"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
03-Jul,158.99,191.18,194.33,160.53,126.33
04-Jul,157.96,190.30,192.50,159.48,125.71
05-Jul,156.73,188.75,190.96,157.96,125.04
06-Jul,158.40,190.83,194.17,160.35,125.04
07-Jul,160.41,191.03,194.12,160.87,130.14
10-Jul,158.91,189.78,192.80,159.18,128.62
11-Jul,158.38,188.20,192.17,158.66,128.48
12-Jul,157.66,187.74,191.70,158.27,127.24
13-Jul,157.77,188.56,192.25,158.34,126.91
14-Jul,158.78,191.68,192.64,160.18,126.87
17-Jul,155.65,185.96,188.74,154.32,127.37
18-Jul,155.86,186.61,189.37,154.94,126.86
19-Jul,156.37,185.87,188.65,154.20,129.57
20-Jul,157.24,188.62,191.39,157.11,126.96
21-Jul,160.78,192.70,196.20,160.83,129.43
24-Jul,162.40,194.16,196.72,162.19,131.99
25-Jul,162.64,194.32,197.83,162.81,131.41
26-Jul,161.64,195.44,198.95,163.92,126.65
27-Jul,160.86,193.80,197.31,162.25,127.42
28-Jul,157.48,190.12,192.76,158.82,124.87
31-Jul,161.54,196.63,197.82,164.25,126.34
