"",ICO Composite,Colombian,,Brazilian,
"",,,Other Milds,,Robustas
"",Indicator (I-CIP),Milds,,Naturals,
01-May,177.95,235.04,229.65,191.36,117.23
02-May,175.97,230.40,223.63,188.63,119.11
03-May,175.29,229.69,220.54,189.04,118.92
04-May,173.83,227.42,218.35,186.84,118.80
05-May,176.70,231.73,222.26,190.60,119.81
08-May,174.88,228.33,219.66,187.89,119.74
09-May,176.98,230.24,222.27,190.38,121.26
10-May,177.07,229.77,221.85,189.96,122.27
11-May,172.76,225.71,217.79,185.24,118.10
12-May,173.40,225.63,217.51,185.58,119.76
15-May,178.10,231.41,223.92,191.69,121.89
16-May,176.87,228.83,221.74,188.65,123.23
17-May,177.43,228.18,221.08,188.07,125.88
18-May,177.22,228.33,220.78,188.12,125.38
19-May,179.19,230.60,223.24,191.04,126.14
22-May,178.98,228.34,223.64,188.46,128.32
23-May,176.88,226.71,222.01,186.86,125.35
24-May,177.51,227.32,222.63,187.51,125.99
25-May,173.46,222.17,217.37,182.38,123.94
26-May,172.49,220.39,215.81,180.94,123.98
29-May,172.84,220.52,215.05,181.73,124.68
30-May,169.87,215.91,210.53,177.23,124.47
31-May,170.47,216.84,211.48,178.19,124.45
