"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Nov,153.32,187.15,186.58,158.95,117.80
02-Nov,155.03,190.74,190.54,161.85,116.54
03-Nov,158.78,195.65,195.36,166.62,118.39
06-Nov,160.85,197.74,196.72,169.55,120.13
07-Nov,158.56,195.45,193.93,167.43,118.00
08-Nov,160.75,197.96,196.44,169.96,119.59
09-Nov,163.10,199.49,200.62,172.37,121.09
10-Nov,160.07,194.85,196.07,168.56,120.18
13-Nov,163.10,197.45,198.68,171.20,123.91
14-Nov,162.65,195.76,199.56,170.99,122.89
15-Nov,166.38,199.44,203.23,174.72,126.67
16-Nov,164.19,195.73,199.71,170.75,127.30
17-Nov,160.39,192.26,194.30,166.19,124.98
20-Nov,162.99,197.01,198.90,170.21,124.48
21-Nov,161.01,194.52,196.41,167.83,123.33
22-Nov,161.77,194.84,196.75,168.15,124.86
23-Nov,161.52,194.95,196.85,168.30,123.94
24-Nov,161.73,193.27,195.32,167.51,126.65
27-Nov,160.85,193.54,195.59,167.98,123.55
28-Nov,163.41,197.53,199.58,171.88,123.64
29-Nov,163.15,197.27,199.33,171.72,123.30
30-Nov,169.99,206.20,207.56,180.84,126.65
