"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Sep,152.36,184.05,183.14,151.88,124.26
04-Sep,152.01,183.75,182.60,151.43,124.09
05-Sep,153.02,185.15,184.01,152.88,124.34
06-Sep,153.39,186.34,185.01,154.83,122.74
07-Sep,151.58,181.98,185.21,151.52,121.88
08-Sep,152.04,181.26,185.59,152.47,122.36
11-Sep,153.74,185.04,189.44,152.93,123.18
12-Sep,150.94,184.28,183.25,152.22,119.88
13-Sep,152.74,184.26,183.24,152.21,124.90
14-Sep,154.44,186.05,184.66,155.03,125.78
15-Sep,158.24,190.93,189.22,159.70,128.01
18-Sep,158.65,191.43,189.45,159.55,128.98
19-Sep,160.17,193.12,190.07,164.20,128.28
20-Sep,158.22,190.64,187.59,161.94,127.07
21-Sep,155.82,188.14,185.01,159.29,125.03
22-Sep,153.36,184.41,181.06,155.44,125.06
25-Sep,150.18,180.90,177.36,150.13,124.14
26-Sep,150.00,182.87,179.33,152.12,120.09
27-Sep,148.99,181.29,177.75,150.58,120.06
28-Sep,148.06,179.54,175.90,148.74,120.76
29-Sep,147.86,179.10,174.97,148.86,120.76
