"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Apr,193.39,218.37,216.09,191.97,173.05
02-Apr,199.78,224.47,222.19,198.45,179.62
03-Apr,205.68,230.35,228.08,204.48,185.42
04-Apr,204.71,228.67,226.67,206.70,182.19
05-Apr,206.23,228.75,229.52,214.33,178.18
08-Apr,205.50,227.06,227.83,212.59,179.20
09-Apr,207.01,229.74,230.50,215.35,178.54
10-Apr,208.27,230.55,231.32,216.21,180.55
11-Apr,213.47,239.55,237.94,218.49,186.17
12-Apr,218.81,246.89,243.75,221.96,192.20
15-Apr,223.13,252.02,248.87,226.35,195.71
16-Apr,225.08,254.02,250.86,228.60,197.37
17-Apr,235.50,265.26,262.09,239.47,206.64
18-Apr,228.06,255.37,253.45,231.19,201.46
19-Apr,228.48,255.42,254.23,230.86,202.43
22-Apr,224.83,249.99,246.91,224.49,203.87
23-Apr,221.18,244.45,241.39,219.12,203.40
24-Apr,226.26,248.65,245.58,223.29,210.09
25-Apr,228.89,251.34,248.22,226.17,212.47
26-Apr,223.73,247.68,244.18,221.79,205.48
29-Apr,225.55,250.45,246.37,225.13,205.46
30-Apr,218.10,240.52,238.01,215.91,200.90
