"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
03-Jun,225.09,246.68,246.27,228.42,202.68
04-Jun,230.22,253.02,252.88,235.81,204.58
05-Jun,231.73,251.54,251.41,234.46,211.29
06-Jun,232.95,255.07,253.78,235.96,210.82
07-Jun,225.96,248.24,246.58,227.04,205.57
10-Jun,223.08,245.30,243.05,223.81,203.39
11-Jun,221.71,244.39,242.14,222.63,201.45
12-Jun,224.83,248.02,245.77,226.48,203.47
13-Jun,226.17,249.60,247.35,228.18,204.27
14-Jun,223.86,247.76,246.01,226.50,200.69
17-Jun,226.32,251.12,249.03,228.94,202.55
18-Jun,224.71,250.12,248.04,228.03,199.78
19-Jun,225.70,250.15,248.05,228.07,202.47
20-Jun,230.22,254.21,251.39,232.50,207.90
21-Jun,225.33,248.58,246.29,226.40,204.42
24-Jun,235.69,260.88,257.93,238.34,212.04
25-Jun,228.37,253.62,250.66,230.85,204.83
26-Jun,224.24,248.72,245.76,225.91,202.10
27-Jun,225.70,250.40,247.73,228.65,202.08
28-Jun,224.77,250.07,247.61,228.44,199.84
