"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Mar,181.39,206.30,204.99,183.44,157.54
04-Mar,183.10,209.76,207.30,185.63,157.91
05-Mar,181.97,206.67,205.81,183.35,158.63
06-Mar,185.77,209.44,208.59,186.12,164.27
07-Mar,190.75,215.48,214.71,192.05,167.42
08-Mar,185.64,208.92,208.16,185.54,164.84
11-Mar,185.15,209.09,207.83,185.41,163.72
12-Mar,186.23,209.58,209.41,186.12,165.01
13-Mar,183.64,206.99,205.84,183.26,163.23
14-Mar,184.62,208.27,206.88,184.23,164.10
15-Mar,185.06,207.93,206.60,183.75,166.00
18-Mar,185.04,207.23,205.57,182.68,167.70
19-Mar,185.28,207.36,205.46,182.80,168.29
20-Mar,184.35,206.99,205.09,182.47,166.32
21-Mar,186.36,210.12,208.50,184.55,167.08
22-Mar,186.15,210.01,209.01,184.19,166.55
25-Mar,188.12,212.31,210.70,186.47,168.30
26-Mar,190.02,214.45,212.84,188.56,169.82
27-Mar,193.26,217.53,215.64,191.36,173.76
28-Mar,191.02,215.38,213.64,189.62,170.92
29-Mar,191.28,215.96,213.99,189.50,171.34
