"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-May,217.54,239.92,237.41,215.40,200.33
02-May,205.50,229.74,227.22,204.95,185.23
03-May,200.93,225.54,223.36,200.22,180.27
06-May,197.58,220.13,218.63,195.96,179.19
07-May,195.64,221.40,219.90,197.16,171.61
08-May,195.98,221.97,220.47,197.53,171.70
09-May,198.04,225.11,223.59,200.13,172.31
10-May,198.88,224.39,223.93,200.39,174.47
13-May,195.13,219.65,219.20,195.75,172.37
14-May,198.55,224.29,223.84,200.34,173.68
15-May,196.84,222.62,222.16,198.52,172.03
16-May,196.49,221.42,220.04,197.63,173.47
17-May,204.11,231.07,229.00,206.91,178.19
20-May,204.04,231.18,229.11,206.97,177.85
21-May,213.59,240.44,238.37,216.32,187.84
22-May,218.62,243.58,241.52,219.41,196.27
23-May,214.79,239.67,237.98,215.73,192.16
24-May,217.97,242.86,241.47,218.70,195.35
27-May,216.75,241.74,240.61,218.70,192.83
28-May,227.41,253.92,252.80,230.73,200.89
29-May,227.09,252.59,251.46,229.51,202.30
30-May,230.61,254.58,254.15,233.52,206.38
31-May,220.67,242.66,242.23,224.47,197.48
